scale,contrast_id,n_shared_features,spearman_vs_frozen_mean,n_binary,n_zero_excluded,raw_direction_accuracy,balanced_direction_accuracy,mcc,tp,tn,fp,fn,consensus_coverage,n_unanimous_frozen,n_unanimous_with_nonzero_external,conditional_accuracy_given_unanimous_frozen,frozen_mean_positive_fraction,external_positive_fraction
gene,injury_d1_vs_uninjured,13749,0.57056347583147293,13749,0,0.70528765728416609,0.70864011362190449,0.41850860750300878,4716,4981,1505,2547,0.48316241181176811,6643,6643,0.81469215715791055,0.52825660048003487,0.45246927049239943
gene,injury_d7_vs_uninjured,13749,0.5503420171424499,13749,0,0.67852207433267875,0.68455065098003143,0.37075654428189331,4514,4815,1515,2905,0.48505345843334063,6669,6669,0.78722447143499774,0.53960288020946978,0.43850461851771039
gene,change_d7_minus_d1,13749,0.59364069785788665,13749,0,0.703978471161539,0.70474564055592381,0.41117421711948476,4578,5101,1666,2404,0.4515237471816132,6208,6208,0.81088917525773196,0.50781875045457847,0.45414211942686739
hallmark,injury_d1_vs_uninjured,50,0.87860744297719084,50,0,0.88,0.82065217391304346,0.47457347091474278,41,3,1,5,0.81999999999999995,41,41,0.92682926829268297,0.92000000000000004,0.83999999999999997
hallmark,injury_d7_vs_uninjured,50,0.81176470588235294,50,0,0.93999999999999995,0.96875,0.61237243569579447,45,2,0,3,0.81999999999999995,41,41,0.97560975609756095,0.95999999999999996,0.90000000000000002
hallmark,change_d7_minus_d1,50,0.64917166866746689,50,0,0.64000000000000001,0.64423076923076916,0.29417420270727607,18,14,12,6,0.35999999999999999,18,18,0.77777777777777779,0.47999999999999998,0.59999999999999998
