term,gene,GSE162610_early_rank_statistic,GSE162610_early_fdr,GSE162610_early_leading_edge,GSE162610_late_rank_statistic,GSE162610_late_fdr,GSE162610_late_leading_edge,GSE162610_delta_rank_statistic,GSE162610_delta_fdr,GSE162610_delta_leading_edge,GSE162610_expected_temporal_sign_pattern,GSE234774_early_rank_statistic,GSE234774_early_fdr,GSE234774_early_leading_edge,GSE234774_late_rank_statistic,GSE234774_late_fdr,GSE234774_late_leading_edge,GSE234774_delta_rank_statistic,GSE234774_delta_fdr,GSE234774_delta_leading_edge,GSE234774_expected_temporal_sign_pattern,GSE304399_early_rank_statistic,GSE304399_early_fdr,GSE304399_early_leading_edge,GSE304399_late_rank_statistic,GSE304399_late_fdr,GSE304399_late_leading_edge,GSE304399_delta_rank_statistic,GSE304399_delta_fdr,GSE304399_delta_leading_edge,GSE304399_expected_temporal_sign_pattern,n_studies_expected_temporal_sign_pattern,n_studies_early_leading_edge,n_studies_late_leading_edge,n_studies_delta_leading_edge,strong_shared_temporal_driver,partial_shared_temporal_driver,bootstrap_mean_expected,bootstrap_min_expected,n_bootstrap_instances,jackknife_mean_expected,jackknife_min_expected,n_jackknife_instances,n_hallmark_memberships,stability_class
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Abi3bp,-2.505296011694995,0.153931503665831,False,-0.7212222358001695,0.676571171854476,False,1.4870319515355568,0.518500861241371,False,False,0.2492416400517188,0.880691803870468,False,0.6955618409088044,0.647042116053713,False,0.3414148597792482,0.888878012889554,False,False,-2.378857782508959,0.30717708651605,False,-2.060776437750433,0.385949040026339,False,0.156607748461075,0.978527875455008,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,1,not_evaluable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Acta2,-1.2966122351262497,0.438356939226584,False,0.4511216299038904,0.80239778427539,False,1.690026182529959,0.451836191602245,False,False,0.3116615564455027,0.848768976053109,False,-0.339955024540839,0.834340581184345,False,-0.5950489203852775,0.79297545328873,False,False,NA,NA,False,NA,NA,False,NA,NA,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,1,not_evaluable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Adam12,1.8230237168348065,0.280240315626712,True,1.1261877894254415,0.503651835062122,False,-0.6671690324645979,0.788780929545113,False,True,5.746900198624141,0.0009580735890043,True,1.6570301288789988,0.239641421859754,True,-3.558516618448014,0.0463617588411684,True,True,2.502627048382235,0.272744636421721,True,0.129354119142166,0.972098427268199,False,-2.4766144011576627,0.401167341694795,True,True,3,3,1,2,False,False,0.99575,0.9745,6.0,1.0,1.0,6.0,2,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Anpep,1.336882212600316,0.424196980544311,False,6.179842887437869,0.0122342947127206,True,5.629313867296385,0.0287914998068737,False,False,4.640388162639728,0.0036905726989782,True,7.892033675335197,0.0001154530730815,True,2.801461817584036,0.109686513056102,False,False,4.860072353867379,0.0206636088889999,True,8.990706465598512,0.001094110563255,True,6.680348352027762,0.0073172560983653,False,False,0,2,3,0,False,False,1.0,1.0,5.0,1.0,1.0,5.0,1,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Aplp1,0.0523881769721254,0.978921074942321,False,-0.5515543956172753,0.755783263255955,False,-0.6084698539580498,0.811082662988488,False,False,-4.214633765298534,0.0065661014282973,False,-2.1249663738234696,0.130555456294812,False,2.5146419135999887,0.152324071897559,False,False,-1.1306211091401015,0.664972909310941,False,-1.1630230485017568,0.653737071963756,False,-0.0196245288125423,0.997492668669043,False,False,0,0,0,0,False,False,NA,NA,NA,NA,NA,NA,2,not_evaluable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Areg,5.983148723290397,0.0134908859829786,True,2.8802186607713223,0.109850032201795,True,-3.3422887001565718,0.121499429288652,True,True,2.736142824528516,0.0550165506133801,True,0.0951543704024028,0.956503005113129,False,-2.3312649443895554,0.18538842438927,True,True,NA,NA,False,NA,NA,False,NA,NA,False,False,2,2,1,2,False,False,1.0,1.0,5.0,1.0,1.0,5.0,4,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Basp1,2.2662945287386647,0.191710125914556,True,1.2805513191235651,0.444740604537768,False,-0.7624670572245437,0.750181305800756,False,True,3.655309574419893,0.0144192158479538,True,2.5516001670481203,0.0718354176475406,True,-0.9262837325260987,0.656844358986742,False,True,2.3126941054815378,0.323228126593087,True,2.2977768719075056,0.326530754385559,True,-0.0495397850780594,0.993022809792729,False,True,3,3,2,0,False,False,0.9726000000000001,0.886,5.0,1.0,1.0,5.0,1,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Bdnf,-1.5349554573929949,0.357662103571423,False,-1.455078095281734,0.383581622013543,False,-0.2489862354585319,0.931363409508514,False,False,2.5980750178470484,0.0670691046598411,True,-2.156626953917687,0.124858365025443,False,-4.129566591545175,0.0242019931218232,True,False,4.482366597599692,0.0309780820173829,True,-1.801271221984832,0.456731829545855,False,-6.262182902905448,0.0099863178126441,True,False,0,2,0,2,False,False,1.0,1.0,4.0,1.0,1.0,4.0,2,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Bgn,1.876597331253156,0.267928089925388,True,3.7439774873360014,0.0528775261155239,True,2.274877353426631,0.286491947390871,False,False,1.6928927953019863,0.229150761117936,True,1.174704078707106,0.415084285610576,True,-0.5622074735040337,0.8068567819526,False,True,0.476414975503508,0.877678979083884,False,2.5205855889483813,0.272003799503736,True,2.2726509540145527,0.478696631412878,False,False,1,2,3,0,False,False,0.9414,0.817,5.0,1.0,1.0,5.0,3,unstable
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Bmp1,3.7616252314380354,0.0519133745916383,True,2.253164955882476,0.193473285972524,True,-1.2955609180071448,0.588366308781511,False,True,6.1472958461847576,0.0006113331852665,True,4.949421627903562,0.0024915317227648,True,-1.147571996604675,0.56208229916738,False,True,8.05085526851235,0.0017024689064787,True,5.699078722549789,0.0091381470029834,True,-2.571568409322325,0.366426427816329,True,True,3,3,3,1,False,False,0.9702142857142857,0.7985,7.0,0.9714285714285714,0.8,7.0,3,unstable
