program,wt_d7_whole_lesion_nes,wt_d7_whole_lesion_fdr,wt_d7_endpoint_support_class,eligible_cell_types,ineligible_below_overlap_cell_types,positive_nes_cell_types,positive_fdr05_cell_types,broad_localization_rule_met,whole_interaction_nes,whole_interaction_fdr,astrocyte_interaction_nes,astrocyte_interaction_fdr,interpretation_limit
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,2.5906144334841272,0,strong_independent_d7_endpoint_support,9,0,7,5,True,-1.357549023181752,0.094171647236155606,-1.6274563306614569,0.019197779793607001,"endpoint-only post-primary support; genotype interaction is context, not pathway causality"
HALLMARK_HYPOXIA,2.0285056020178289,2.7301258706727507e-05,strong_independent_d7_endpoint_support,9,0,6,0,False,-1.0408253462748438,0.43146381484654989,-0.9545994030478292,0.64209370167961199,"endpoint-only post-primary support; genotype interaction is context, not pathway causality"
HALLMARK_MTORC1_SIGNALING,1.3207376582805064,0.082751394886592902,weak_directional_d7_endpoint_support,8,1,3,0,False,-2.2834282824473946,9.8734596068761956e-05,-2.1681357027713122,0.00016166551405139999,"endpoint-only post-primary support; genotype interaction is context, not pathway causality"
HALLMARK_MYC_TARGETS_V1,1.234165846801224,0.15919363951892809,weak_directional_d7_endpoint_support,8,1,8,2,True,-1.1461261286178006,0.32864515548602202,-0.93742374438433118,0.64623094816824,"endpoint-only post-primary support; genotype interaction is context, not pathway causality"
