program,contrast_id,null_level,diagnostic,observed,null_median,difference,standardized_difference,threshold,pass
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,level3_module_block,effective_gene_set_size_relative_difference,8.7242885239086903,8.6123613788565745,0.012829372245700297,NA,0.20000000000000001,True
HALLMARK_HYPOXIA,injury_d7_vs_uninjured,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,mean_expression,4.3827975231491747,3.8222566875449449,0.55795184024965616,0.3257970461008573,0.25,False
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,log_expression_variance,0.53970406488452782,0.3587694710135626,0.18060614071182213,0.60156743434457971,0.25,False
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,detectability,0.99584385521885532,0.99245054713804715,0.0034440235690235133,0.15597198051775035,0.25,True
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,mean_pairwise_residual_correlation,0.096838693087986857,0.093724796307501884,0.0031138967804849732,NA,0.050000000000000003,True
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,effective_gene_set_size_relative_difference,8.7242885239086903,8.6050544343199338,0.013666912695745732,NA,0.20000000000000001,True
HALLMARK_HYPOXIA,change_d7_minus_d1,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,mean_expression,5.2768369155399357,4.1511075765019418,1.1230609190711531,0.722343811117103,0.25,False
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,log_expression_variance,0.40092617426914667,0.39176835989840941,0.0086645371370234203,0.032400643892224017,0.25,True
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,detectability,0.9966216216216216,0.99436936936936926,0.0023258258258258557,0.12528964446379295,0.25,True
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,mean_pairwise_residual_correlation,0.2701875992974363,0.23514439759242159,0.035043201705014709,NA,0.050000000000000003,True
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,effective_gene_set_size_relative_difference,4.9289197540727363,5.5154517166415618,-0.11899807500095283,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,mean_expression,5.2768369155399357,4.1241193118066253,1.1471194251145684,0.73842421757424037,0.25,False
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,log_expression_variance,0.40092617426914667,0.3902820305096002,0.010119548020867675,0.037885683248098059,0.25,True
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,detectability,0.9966216216216216,0.99438188188188192,0.0023993993993992602,0.12796735698789932,0.25,True
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,mean_pairwise_residual_correlation,0.2701875992974363,0.23583193852216175,0.034355660775274549,NA,0.050000000000000003,True
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,effective_gene_set_size_relative_difference,4.9289197540727363,5.5075733391864619,-0.11739967659964186,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,mean_expression,5.2768369155399357,4.127612502079625,1.1478463739387292,0.73832373842257903,0.25,False
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,log_expression_variance,0.40092617426914667,0.39353381321046293,0.0082746535336776228,0.031059253485193176,0.25,True
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,detectability,0.9966216216216216,0.99421921921921919,0.0024896896896896559,0.13262652452613771,0.25,True
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,mean_pairwise_residual_correlation,0.2701875992974363,0.23582394132895185,0.034363657968484451,NA,0.050000000000000003,True
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,effective_gene_set_size_relative_difference,4.9289197540727363,5.5098542369098436,-0.11786243473675639,NA,0.20000000000000001,True
HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,level3_module_block,coexpression_module_composition_l1,0,0,0,NA,0.20000000000000001,True
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,mean_expression,4.7570351295823254,3.9692842795764935,0.78241586675599351,0.46977649541940653,0.25,False
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,log_expression_variance,0.42878761648025682,0.37587804824022208,0.0529145587484246,0.19609921052623927,0.25,True
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,detectability,0.99497844405251812,0.99369243582206546,0.001357044875563429,0.054012224443446284,0.25,True
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,mean_pairwise_residual_correlation,0.15646600046531561,0.15490894396469962,0.0015570565006159942,NA,0.050000000000000003,True
HALLMARK_MTORC1_SIGNALING,injury_d1_vs_uninjured,level3_module_block,effective_gene_set_size_relative_difference,7.1886038684166822,7.142495001375111,0.0064141616210279372,NA,0.20000000000000001,True
