dataset,contrast_id,effect_type,term,es,nes,nominal_p,fdr,fwer_p,tag_fraction,gene_fraction,leading_edge_genes,n_ranked_genes,n_exact_tied_genes_before_deterministic_break
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.31695838021801476,-1.5294260401145425,0.0,0.020908431655894854,0.0894,50/191,12.67%,Inhba;Col4a1;Col4a2;Tnc;Il6;Nt5e;Tnfrsf12a;Flna;Fstl3;Sdc4;Igfbp3;Dab2;Cd44;Pvr;Timp1;Vim;Lamc2;Gja1;Cxcl5;Pdlim4;Areg;Oxtr;Fermt2;Itgb1;Plaur;Itga5;Thbs1;Ptx3;Calu;Slit3;Crlf1;Pcolce2;Tpm4;Tgfbi;Fas;Tgm2;Ccn1;Igfbp4;Cald1;Sdc1;Ccn2;Mcm7;Plod3;Tpm1;Lamc1;Fn1;Tfpi2;Timp3;Igfbp2;Cdh2,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_PEROXISOME,0.4009641137501713,1.5158299895431948,0.006923289947382997,0.06955323741135415,0.2646,32/92,19.19%,Rxrg;Scgb1a1;Alb;Cat;Hsd17b11;Abcd1;Cadm1;Dhrs3;Idh1;Cln6;Retsat;Crat;Slc35b2;Scp2;Abcd2;Top2a;Nr1i2;Bcl10;Gstk1;Acaa1a;Abcb4;Aldh9a1;Slc25a19;Cln8;Fis1;Abcc5;Atxn1;Sod1;Pex13;Hmgcl;Prdx1;Eci2,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_BILE_ACID_METABOLISM,0.3942439489329799,1.5140009468590299,0.008815426997245178,0.05306720420046304,0.2684,39/97,23.37%,Paox;Rxrg;Cyp27a1;Cat;Hsd17b11;Abcd1;Abca1;Phyh;Abca9;Idh1;Retsat;Rxra;Npc1;Slc35b2;Scp2;Abcd2;Crot;Nr1i2;Klf1;Hacl1;Gstk1;Pex11g;Pecr;Apoa1;Aldh9a1;Atxn1;Pxmp2;Sod1;Lck;Cyp39a1;Pex7;Pex13;Optn;Abca3;Pex1;Ephx2;Pex12;Bbox1;Slc22a18,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_HEME_METABOLISM,0.36064778464367736,1.5015374795474938,0.0027989821882951653,0.048201596560924355,0.3,56/175,19.62%,Ctse;Cat;Ctns;Tent5c;Hebp1;Ccdc28a;Ctsb;Lamp2;Acp5;Myl4;Pdzk1ip1;E2f2;Htatip2;Fn3k;Mpp1;Epor;Foxo3;Blvrb;Cir1;Bsg;Btg2;Sec14l1;Selenbp1;Adipor1;H1f0;Ucp2;Gypc;Mgst3;Fech;Fbxo7;Lpin2;Klf1;Slc11a2;Blvra;Lmo2;Rbm5;Synj1;Car1;Abcg2;Tnrc6b;Bnip3l;Narf;Dcaf11;Ypel5;Ppox;Tmem9b;Bmp2k;Gde1;Aldh6a1;Hagh;Foxj2;Pgls;Icam4;Ermap;Optn;Sdcbp,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_INFLAMMATORY_RESPONSE,-0.30993594118634515,-1.4890844605531626,0.0019065776930409914,0.027313292998586695,0.1274,39/187,6.42%,Sphk1;Msr1;Hbegf;Inhba;Ifitm1;Il6;Tnfrsf9;Il4ra;Aqp9;Ereg;Sgms2;Met;Ldlr;Pvr;Timp1;Marco;Sele;Adm;Ccl7;Osmr;Mefv;Csf3;Cxcl5;Adora2b;Pdpn;Plaur;Itga5;Tnfaip6;Lif;Gnai3;Has2;Ccl24;Nod2;Prok2;Ccl17;Atp2a2;Fpr1;Il18rap;Ahr,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_IL2_STAT5_SIGNALING,-0.3079885888817384,-1.4850911846706,0.0019286403085824494,0.02547989542415725,0.1306,47/194,11.81%,Glipr2;Uck2;Plec;Lrrc8c;Nt5e;Tnfrsf9;Nop2;Bmp2;Il4ra;Swap70;Slc29a2;Ncs1;Muc1;Ahnak;Emp1;Cish;Cd44;Spry4;Odc1;Il1r2;Ccnd2;Socs2;Selp;Fgl2;Lif;Prnp;Myo1c;Tnfsf11;Slc2a3;Map6;Ahr;Slc1a5;Furin;Sell;Mxd1;Ttc39b;She;Tgm2;Tiam1;Pus1;Lclat1;Praf2;Huwe1;Xbp1;Hopx;Myc;F2rl2,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_COMPLEMENT,0.35158899471022675,1.4574255259208775,0.009383717981232564,0.06471881956437663,0.436,51/173,19.34%,Apoc1;Lipa;Kynu;Cpq;Ang;Irf1;Ctsd;Spock2;Casp4;C1qc;Prkcd;Ctsb;Lamp2;Ctsh;C1qa;Ctss;Ctso;Rhog;Psmb9;Casp1;C2;Gng2;Pla2g7;Gngt2;Prcp;Casp7;Timp2;Dpp4;Pik3r5;Pik3cg;Fcer1g;Lgmn;Lrp1;F7;Atox1;Klk1;Pik3ca;Olr1;Dock10;Msrb1;Anxa5;Lcp2;Cdk5r1;Irf7;Lck;Irf2;Gp9;Mmp13;Tnfaip3;Fcnb;Lyn,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.3013549953312807,-1.4509235534895728,0.0009765625,0.031329564522361436,0.171,28/192,4.05%,Sphk1;Hbegf;Inhba;Fosl1;Tnc;Il6;Tnfrsf9;Bmp2;Ehd1;Sdc4;Ccnd1;Serpinb2;Cd80;Ldlr;Cd44;Pdlim5;Tubb2a;Cxcl5;Trip10;Areg;F2rl1;Il6st;Plaur;Tnfaip6;Ptx3;Plpp3;Lif;Ackr3,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_UV_RESPONSE_DN,-0.3100739707593674,-1.444558327082559,0.004208754208754209,0.03041596581685191,0.1794,51/144,21.46%,Grk5;Dab2;Met;Ldlr;Pdlim5;Anxa2;Mt1;Gja1;Kit;Abcc1;Adora2b;Ddah1;Spop;Plpp3;Has2;Mrps31;Dlg1;Map1b;Mios;Atp2b4;Ltbp1;Cdc42bpa;F3;Rasa2;Ccn1;Plcb4;Nfib;Erbb2;Lamc1;Ptpn21;Prkca;Myc;Dlc1;Akt3;Adgrl2;Insig1;Id1;Acvr2a;Schip1;Syne1;Rnd3;Rgs4;Magi2;Mta1;Pparg;Scaf8;Tgfbr3;Tent4a;Lpar1;Wdr37;Add3,18747,16
GSE162610,change_d7_minus_d1,temporal_delta,HALLMARK_ADIPOGENESIS,0.34380553206662245,1.4376215394224152,0.007179995048279277,0.06731266455798207,0.4966,57/196,20.41%,Apoe;Col15a1;Fabp4;Slc27a1;Cat;Sowahc;Aldh2;Ltc4s;Slc25a10;Tst;Cdkn2c;Abca1;Phyh;Itih5;Ccng2;Idh1;Echs1;Retsat;Bckdha;Stom;Crat;Acaa2;Dhrs7;Elmod3;Cidea;Gpx3;Hadh;Scp2;Acads;Cd302;Ucp2;Sqor;Mgst3;Ifngr1;Cavin2;Dram2;Acadm;Nmt1;Ddt;Sult1a1;Cox8a;Rab34;Reep5;Sparcl1;Vegfb;Plin2;Sod1;Lpcat3;Tank;Pdcd4;Itsn1;Coq9;Decr1;Esyt1;Gpx4;Adipoq;Uqcr10,18747,16
