contrast_id,metric,program_observed,n_program_features,n_gene_features,n_random_gene_feature_subsets,random_gene_subset_median,random_gene_subset_q025,random_gene_subset_q975,empirical_p_program_ge_random_gene_features,interpretation_limit
injury_d1_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50,15331,10000,0.5,0.34000000000000002,0.62,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
injury_d1_vs_uninjured,mean_pairwise_sign_concordance,0.88000000000000012,50,15331,10000,0.65333333333333343,0.57333333333333325,0.74666666666666681,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
injury_d1_vs_uninjured,mean_held_out_direction_accuracy,0.90000000000000002,50,15331,10000,0.69333333333333325,0.58666666666666667,0.78666666666666663,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
injury_d7_vs_uninjured,all_study_sign_concordance_rate,0.81999999999999995,50,15331,10000,0.47999999999999998,0.35999999999999999,0.62,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
injury_d7_vs_uninjured,mean_pairwise_sign_concordance,0.88,50,15331,10000,0.65333333333333343,0.57333333333333325,0.7466666666666667,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
injury_d7_vs_uninjured,mean_held_out_direction_accuracy,0.88666666666666671,50,15331,10000,0.68666666666666654,0.57999999999999996,0.78000000000000003,9.9990000999900015e-05,feature-count diagnostic only; not a matched random gene-set null
change_d7_minus_d1,all_study_sign_concordance_rate,0.35999999999999999,50,15331,10000,0.44,0.29999999999999999,0.57999999999999996,0.91070892910708934,feature-count diagnostic only; not a matched random gene-set null
change_d7_minus_d1,mean_pairwise_sign_concordance,0.57333333333333325,50,15331,10000,0.62666666666666659,0.53333333333333333,0.7200000000000002,0.9118088191180882,feature-count diagnostic only; not a matched random gene-set null
change_d7_minus_d1,mean_held_out_direction_accuracy,0.56666666666666676,50,15331,10000,0.65333333333333332,0.54666666666666675,0.7533333333333333,0.94420557944205574,feature-count diagnostic only; not a matched random gene-set null
