dataset,method,myc_program,contrast_id,estimate_adjusted,se,df_residual,ci_low,ci_high,nominal_p,direction,expected_direction,expected_direction_retained,design_rank,design_columns,condition_number,max_vif,vif_E2F,vif_G2M,vif_dpi_1,vif_dpi_7,evaluable,status,reason,nominal_p_fdr_within_method_contrast
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.63257240278941,0.18780510817558235,3.0,1.0348927301626207,2.230252075416199,0.0032037847107409564,1,1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.008354363238729788
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,0.260109580868904,0.23289045666908575,3.0,-0.4810517924934634,1.0012709542312714,0.3454394525215141,1,1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.3454394525215141
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-1.372462821920506,0.14032714356322576,3.0,-1.8190464214843103,-0.9258792223567017,0.002271362679473237,-1,-1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.013628176076839423
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d1_vs_uninjured,2.062044042937752,0.2211979329471277,3.0,1.3580934984937718,2.7659945873817318,0.0026134585997667596,1,1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.008354363238729788
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,injury_d7_vs_uninjured,0.870188866605727,0.2742997148413673,3.0,-0.002755247431556862,1.743132980643011,0.05038748099519534,1,1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.1257975100574875
GSE162610,centered_rank_mean,HALLMARK_MYC_TARGETS_V2,change_d7_minus_d1,-1.1918551763320249,0.16527811407312973,3.0,-1.7178438998083156,-0.665866452855734,0.0054975484292519635,-1,-1,True,5,5,8.541243022951537,11.305937565982301,11.305937565982301,9.488530377283634,3.204136326460921,3.9417543581398387,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.01649264528775589
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d1_vs_uninjured,1.31133573566882,0.18078687187427295,3.0,0.735991223228741,1.886680248108899,0.005406099523476249,1,1,True,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.024953120609344796
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,injury_d7_vs_uninjured,-0.6099387362396673,0.15882804490302085,3.0,-1.115400460916721,-0.1044770115626138,0.03114430320191332,-1,1,False,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.18366028030336234
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V1,change_d7_minus_d1,-1.9212744719084873,0.22654135136191353,3.0,-2.642230158544187,-1.2003187852727875,0.0034421042365751055,-1,-1,True,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.02041485629161277
GSE162610,magnitude_mean_z,HALLMARK_MYC_TARGETS_V2,injury_d1_vs_uninjured,1.6311684353462597,0.26158622097818096,3.0,0.7986843328811202,2.463652537811399,0.008317706869781599,1,1,True,5,5,6.897620179902511,10.642551084194377,10.642551084194377,7.212461206056351,2.5007787501494425,1.5441370967703383,False,not_evaluable,frozen rank/df/VIF/condition-number gate failed,0.024953120609344796
