component,variance_explained
PC1,0.587587081258392
PC2,0.277109722702715
PC3,0.0412369100272542
PC4,0.0282692214285242
PC5,0.0174560422736869
PC6,0.011252001817751
PC7,0.00876255367347748
PC8,0.00811711195890141
PC9,0.00595769196137706
PC10,0.00528250134559557
PC11,0.00479874009088428
PC12,0.00417042146144149
PC13,6.0755894386068e-31
