contrast_id,metric,directly_comparable,gene,program,program_minus_gene
change_d7_minus_d1,all_study_sign_concordance_rate,True,0.44393712086621878,0.35999999999999999,-0.083937120866218795
change_d7_minus_d1,mean_held_out_direction_accuracy,True,0.65425173395951564,0.56666666666666676,-0.087585067292848873
change_d7_minus_d1,mean_leave_one_study_out_rank_retention,True,0.47335309190511315,0.56195795589195841,0.08860486398684525
change_d7_minus_d1,mean_pairwise_sign_concordance,True,0.62929141391081245,0.57333333333333325,-0.055958080577479197
change_d7_minus_d1,mean_pairwise_spearman,True,0.40077622599941681,0.51113245298119236,0.11035622698177555
change_d7_minus_d1,median_across_study_score_sd,False,1.1362266083877055,1.3029133165541058,0.1666867081664003
change_d7_minus_d1,same_direction_fdr_replication_2plus_rate,True,0.016045920031309113,0.23999999999999999,0.22395407996869088
complete_temporal_pattern,complete_temporal_pattern_concordance_rate,True,0.13104168025569107,0.26000000000000001,0.12895831974430894
injury_d1_vs_uninjured,all_study_sign_concordance_rate,True,0.48979192485813061,0.81999999999999995,0.33020807514186934
injury_d1_vs_uninjured,mean_held_out_direction_accuracy,True,0.69162698671536971,0.90000000000000002,0.20837301328463032
injury_d1_vs_uninjured,mean_leave_one_study_out_rank_retention,True,0.51633811723339773,0.76306159870205548,0.24672348146865775
injury_d1_vs_uninjured,mean_pairwise_sign_concordance,True,0.65986128323875359,0.88000000000000012,0.22013871676124652
injury_d1_vs_uninjured,mean_pairwise_spearman,True,0.43825680559211183,0.70506602641056426,0.26680922081845243
injury_d1_vs_uninjured,median_across_study_score_sd,False,1.4222860335980123,0.35955896895496386,-1.0627270646430484
injury_d1_vs_uninjured,same_direction_fdr_replication_2plus_rate,True,0.051007762050746849,0.71999999999999997,0.66899223794925311
injury_d7_vs_uninjured,all_study_sign_concordance_rate,True,0.48744374143891461,0.81999999999999995,0.33255625856108534
injury_d7_vs_uninjured,mean_held_out_direction_accuracy,True,0.68369099645598241,0.88666666666666671,0.2029756702106843
injury_d7_vs_uninjured,mean_leave_one_study_out_rank_retention,True,0.51798046703104694,0.66903808183670055,0.15105761480565361
injury_d7_vs_uninjured,mean_pairwise_sign_concordance,True,0.65829582762594296,0.88,0.22170417237405704
injury_d7_vs_uninjured,mean_pairwise_spearman,True,0.43855494819961965,0.59513405362144856,0.1565791054218289
injury_d7_vs_uninjured,median_across_study_score_sd,False,1.2167244155268258,0.34147360615840061,-0.87525080936842514
injury_d7_vs_uninjured,same_direction_fdr_replication_2plus_rate,True,0.044419803013502054,0.71999999999999997,0.67558019698649796
