gsm,group,PC1,PC2,PC3,PC4,PC5
GSM1154538,SHAMWT,-57.7273591821798,2.24036732791245,6.84677336597548,13.3456926268084,-4.25300874173801
GSM1154539,SHAMWT,-53.7284510146192,6.64295167988909,-13.1864688960327,-0.519595440062886,-1.44744920271606
GSM1154540,SHAMWT,-44.8600765632655,6.45386126160968,15.5954278123423,-13.6716368505798,4.04568677740317
GSM1154542,SHAMWT,-51.2948087425709,8.18683629581476,-5.57393229413058,-2.56259516305566,5.3570602447142
GSM1154530,DAY1WT,21.6074448919357,-30.8355786345494,0.730933448109793,1.11868282767444,1.36989911322157
GSM1154541,DAY1WT,17.183748272705,-24.8921692102867,-10.9818096367195,-8.25281100131176,3.6968000514067
GSM1154547,DAY1WT,7.94326552979422,-26.4916159421855,5.16734467888727,-2.19869549278399,-3.12281439953486
GSM1154548,DAY1WT,28.0014157150205,-32.9427870392587,5.36455415257634,8.36064883727222,11.5542749041865
GSM1154549,DAY1WT,10.6396343279145,-27.3436451889488,-3.56498715443379,-1.43562205484888,-15.7697618878532
GSM1154529,DAY7WT,34.1340813578249,30.191615171846,4.03560181186412,-1.50467972342084,-0.095616023409183
GSM1154531,DAY7WT,17.5916130317396,25.4571605195845,0.917719386766156,15.4190117257994,0.535260778803066
GSM1154532,DAY7WT,30.0896766436042,31.4395733094619,-17.6606953977317,-2.0773302410762,2.09386878564304
GSM1154533,DAY7WT,40.4198157320964,31.8934304491109,12.3095387225268,-6.02107005041454,-3.96420040012691
