gsm,rle_q05,rle_q25,rle_median,rle_q75,rle_q95,rle_iqr
GSM1154538,-0.477538827910137,-0.0701550211188282,0.00903849613854479,0.148049358064397,0.448221897086666,0.218204379183225
GSM1154539,-0.471174816412457,-0.083077150956929,0,0.135943829934439,0.449145103855804,0.219020980891368
GSM1154540,-0.409317229586297,-0.0928573115477258,0,0.133098372829533,0.445818425945252,0.225955684377259
GSM1154542,-0.467735660532783,-0.084041593178676,0.00259236796793161,0.141993880643843,0.427803673997759,0.226035473822519
GSM1154530,-0.330483119624503,-0.104432102125614,0,0.112912243535131,0.383082663819359,0.217344345660745
GSM1154541,-0.272211041723303,-0.0855015324273696,0,0.0634685316454151,0.284973513921424,0.148970064072785
GSM1154547,-0.245953450614552,-0.0628173331487387,0,0.0704370266383094,0.25076650685519,0.133254359787048
GSM1154548,-0.378982194801096,-0.101499795697972,0,0.105480038945128,0.388509941725166,0.2069798346431
GSM1154549,-0.288625361346156,-0.100228933907182,0,0.0847178982301902,0.323931926881699,0.184946832137372
GSM1154529,-0.312609755571998,-0.114629539259776,-0.000324593722554667,0.0609211840990582,0.40489341013628,0.175550723358834
GSM1154531,-0.294687887378767,-0.0941714820888659,0,0.081710450753282,0.336525318417198,0.175881932842148
GSM1154532,-0.330733633701836,-0.114823800905155,0,0.0751736171115134,0.398063518787979,0.189997418016668
GSM1154533,-0.388940935667918,-0.13318991380666,0,0.0893578322337616,0.496956719292895,0.222547746040422
