scale,contrast_id,n_features,median_strength,max_strength
gene,change_d7_minus_d1,15331,1.1358888438192232,10.98359538226157
gene,injury_d1_vs_uninjured,15331,1.1357008838009146,10.397815021558573
gene,injury_d7_vs_uninjured,15331,1.1356319668904111,10.615927178889391
hallmark,change_d7_minus_d1,50,1.5327023576372207,2.458399272986313
hallmark,injury_d1_vs_uninjured,50,1.4954578200125228,3.034292154815357
hallmark,injury_d7_vs_uninjured,50,1.484725372592223,2.6914579493708395
