PROBEID,SYMBOL,probe_iqr,selection_rule
1453075_at,1600012P17Rik,0.0802619824115656,maximum_across_sample_IQR_then_lexicographic_probe_id
1424444_a_at,1600014C10Rik,0.519663389102279,maximum_across_sample_IQR_then_lexicographic_probe_id
1453963_at,1600014C23Rik,0.246228938519402,maximum_across_sample_IQR_then_lexicographic_probe_id
1436424_at,1600020E01Rik,0.10789871306951,maximum_across_sample_IQR_then_lexicographic_probe_id
1431723_at,1600022D10Rik,0.144966952720888,maximum_across_sample_IQR_then_lexicographic_probe_id
1457647_x_at,1600023N17Rik,0.0791146933799252,maximum_across_sample_IQR_then_lexicographic_probe_id
1444548_at,1600025M17Rik,0.108364586537568,maximum_across_sample_IQR_then_lexicographic_probe_id
1430852_at,1600029I14Rik,0.159622083755247,maximum_across_sample_IQR_then_lexicographic_probe_id
1454055_at,1600029O15Rik,0.174894187321337,maximum_across_sample_IQR_then_lexicographic_probe_id
1417906_at,1700001F09Rik,0.139388863095133,maximum_across_sample_IQR_then_lexicographic_probe_id
1438544_at,1700001G11Rik,0.176446436737105,maximum_across_sample_IQR_then_lexicographic_probe_id
1449562_at,1700001G17Rik,0.211052491724431,maximum_across_sample_IQR_then_lexicographic_probe_id
1459025_at,1700001J04Rik,0.110568709239351,maximum_across_sample_IQR_then_lexicographic_probe_id
1422722_at,1700001K19Rik,0.061989120091865,maximum_across_sample_IQR_then_lexicographic_probe_id
1429795_at,1700001L05Rik,0.0904882640483038,maximum_across_sample_IQR_then_lexicographic_probe_id
1424795_a_at,1700001O22Rik,0.0578301903797618,maximum_across_sample_IQR_then_lexicographic_probe_id
1430266_at,1700003D09Rik,0.124688256278153,maximum_across_sample_IQR_then_lexicographic_probe_id
1428601_at,1700003E16Rik,0.118497481217511,maximum_across_sample_IQR_then_lexicographic_probe_id
1437988_x_at,1700003E24Rik,0.0809039477930265,maximum_across_sample_IQR_then_lexicographic_probe_id
1452863_at,1700003F12Rik,0.366187068679539,maximum_across_sample_IQR_then_lexicographic_probe_id
1429482_at,1700003H04Rik,0.135503769926599,maximum_across_sample_IQR_then_lexicographic_probe_id
1430276_at,1700003I16Rik,0.198495198386048,maximum_across_sample_IQR_then_lexicographic_probe_id
1431103_at,1700003P14Rik,0.100353417609675,maximum_across_sample_IQR_then_lexicographic_probe_id
1431967_at,1700006A11Rik,0.0745277222559473,maximum_across_sample_IQR_then_lexicographic_probe_id
1457663_at,1700006F04Rik,0.0888873683982876,maximum_across_sample_IQR_then_lexicographic_probe_id
1430182_a_at,1700006J14Rik,0.0585080273933967,maximum_across_sample_IQR_then_lexicographic_probe_id
1430199_at,1700007E05Rik,0.103822222598211,maximum_across_sample_IQR_then_lexicographic_probe_id
1431984_at,1700007F19Rik,0.211765745921491,maximum_across_sample_IQR_then_lexicographic_probe_id
1431612_at,1700007J10Rik,0.147964143310205,maximum_across_sample_IQR_then_lexicographic_probe_id
1435403_at,1700007L15Rik,0.160756773164587,maximum_across_sample_IQR_then_lexicographic_probe_id
1432653_at,1700008H02Rik,0.362070116648782,maximum_across_sample_IQR_then_lexicographic_probe_id
1428732_at,1700008J07Rik,0.229482278691625,maximum_across_sample_IQR_then_lexicographic_probe_id
1434368_at,1700008K24Rik,0.0669761041091332,maximum_across_sample_IQR_then_lexicographic_probe_id
1433161_at,1700008N17Rik,0.18241341121244,maximum_across_sample_IQR_then_lexicographic_probe_id
1458662_at,1700008O03Rik,0.586062926488111,maximum_across_sample_IQR_then_lexicographic_probe_id
1430284_at,1700008P02Rik,0.114888752762021,maximum_across_sample_IQR_then_lexicographic_probe_id
1432505_at,1700009J07Rik,0.12765920507942,maximum_across_sample_IQR_then_lexicographic_probe_id
1429747_at,1700009N14Rik,0.161606857424877,maximum_across_sample_IQR_then_lexicographic_probe_id
1429827_at,1700010B08Rik,0.0724153901734894,maximum_across_sample_IQR_then_lexicographic_probe_id
1431526_at,1700010B13Rik,0.138601632278932,maximum_across_sample_IQR_then_lexicographic_probe_id
1429636_at,1700010D01Rik,0.111359453576377,maximum_across_sample_IQR_then_lexicographic_probe_id
1443839_at,1700010H22Rik,0.146236075003982,maximum_across_sample_IQR_then_lexicographic_probe_id
1436863_at,1700010I14Rik,0.169647667155518,maximum_across_sample_IQR_then_lexicographic_probe_id
1431783_at,1700010L04Rik,0.250061246204672,maximum_across_sample_IQR_then_lexicographic_probe_id
1430315_at,1700010N08Rik,0.160784057601687,maximum_across_sample_IQR_then_lexicographic_probe_id
1442926_at,1700011B04Rik,0.181392854108049,maximum_across_sample_IQR_then_lexicographic_probe_id
